ESSENCE,ESS,CODE_CCBIO,NOM_LATIN,NOM_FRANCAIS,FAMILLE
PV,,Plocc,Platanus occidentalis L.,Platane d'Amérique,Platanaceae
PF,,,Populus alba,Peuplier blanc,Salicaceae
PA,PEB,Pobal,Populus balsamifera L.,Peuplier baumier,Salicaceae
PL,PED,Podel,Populus deltoides W. Bartram ex Marshall,Peuplier deltoïde,Salicaceae
PD,PEG,Pogra,Populus grandidentata Michx.,Peuplier à grandes dents,Salicaceae
PN,,,Populus nigra,Peuplier d'Italie,Salicaceae
PT,PET,Potre,Populus tremuloides Michx.,Peuplier faux-tremble,Salicaceae
,,Prame,Prunus americana Marsh.,Prunier d'Amérique,Rosaceae
,,Prpen,Prunus pensylvanica L. f.,Cerisier de Pennsylvanie,Rosaceae
CT,CET,Prser,Prunus serotina Ehrh.,Cerisier noir,Rosaceae
CB,CHB,Qualb,Quercus alba L.,Chêne blanc,Fagaceae
CI,CHE,Qubic,Quercus bicolor Willd.,Chêne bicolore,Fagaceae
,,Qucoc,Quercus coccinea Münchh.,Chêne écarlate,Fagaceae
,,Quell,Quercus ellipsoidalis E.J. Hill,Chêne ellipsoïdal,Fagaceae
,,Qufal,Quercus falcata Michx.,Chêne digité,Fagaceae
,,Quili,Quercus ilicifolia Wangenh.,Chêne à feuilles de houx,Fagaceae
,,Quimb,Quercus imbricata Buch.-Ham. ex D.Don,Chêne imbriqué,Fagaceae
,,Qulae,Quercus laevis Walter,Chêne turkey,Fagaceae
,,Qulau,Quercus laurifolia Michx.,Chêne à feuilles de laurier,Fagaceae
,,Qulyr,Quercus lyrata Walter,Chêne lyré,Fagaceae
CG,CHG,Qumac,Quercus macrocarpa Michx.,Chêne à gros fruits,Fagaceae
,,Qumic,Quercus michauxii Nutt.,Chêne des montagnes,Fagaceae
,,Qumue,Quercus muehlenbergii Engelm.,Chêne jaune,Fagaceae
,,Qunig,Quercus nigra L.,Chêne aquatique,Fagaceae
,,Qupal,Quercus palustris Muenchh.,Chêne des marais,Fagaceae
CP,,,Quercus pedonculata,Chêne pédonculé,Fagaceae
